0.0 0.0 0.0
1.0 1.0 1.0
3.71 3.7 3.69
8.38 8.7 8.4
15.54 16.03 15.85
25.14 26.09 26.18
37.76 39.49 39.46
53.52 56.5 56.72
73.03 76.97 76.49
95.73 101.41 100.94
122.13 130.25 129.41
152.31 163.47 161.91
186.36 200.98 199.23
224.4 242.41 241.89
266.06 288.49 289.31
311.71 338.08 340.53
361.98 394.67 397.1
416.37 453.6 456.13
475.14 519.12 523.26
538.87 590.63 593.74
607.18 666.83 668.51
679.55 746.48 750.28
756.53 833.15 838.79
838.31 925.7 930.97
925.5 1023.13 1028.85
1017.3 1126.3 1132.76
1114.11 1237.44 1243.38
1215.77 1353.04 1358.74
1322.4 1474.39 1481.07
1433.86 1601.96 1608.33
1550.01 1735.18 1741.2
1672.04 1874.74 1882.19
1798.6 2017.08 2029.98
1931.29 2173.82 2180.48
2069.4 2333.7 2338.63
2212.13 2498.16 2503.46
2361.47 2667.54 2674.59
2515.71 2845.52 2852.12
2675.64 3028.97 3038.11
2840.48 3219.01 3228.38
3011.36 3414.85 3426.14
3187.77 3615.87 3633.83
3369.86 3828.08 3845.03
3557.37 4050.75 4065.27
3750.36 4277.05 4287.53
3948.64 4512.01 4515.35
4153.36 4752.77 4753.05
4364.36 4996.24 4997.01
4580.53 5247.16 5251.62
4801.74 5509.14 5509.75
5029.52 5778.33 5778.86
5263.69 6052.97 6049.71
5503.27 6331.88 6333.07
5748.68 6618.6 6623.45
5999.91 6910.92 6919.8
6257.82 7209.96 7219.89
6520.46 7524.02 7526.54
6790.42 7842.52 7839.42
7066.6 8169.52 8159.07
7347.12 8498.29 8490.35
7633.39 8835.59 8826.86
7926.38 9177.67 9171.59
8225.52 9536.43 9524.52
8530.36 9895.78 9888.8
8841.78 10257.9 10262.47
9159.79 10636.53 10640.26
9483.62 11018.85 11024.51
9814.14 11407.09 11418.78
10151.38 11812.97 11823.05
10494.28 12217.99 12232.32
10843.83 12629.09 12642.87
11200.65 13051.55 13067.03
11563.12 13478.91 13499.81
11932.74 13918.36 13944.32
12308.69 14366.04 14386.76
12690.88 14812.43 14839.56
13078.51 15269.45 15300.71
13474.11 15738.96 15760.63
13874.92 16211.01 16233.46
14283.35 16685.02 16711.11
14698.72 17179.73 17205.86
15120.2 17686.05 17708.04
15548.19 18199.61 18218.65
15982.95 18706.54 18732.07
16423.57 19231.94 19259.66
16871.31 19765.57 19792.15
17326.57 20310.62 20339.62
17788.57 20864.47 20882.81
18256.07 21418.86 21432.97
18730.9 21976.56 21996.79
19212.4 22556.84 22573.67
19699.93 23139.94 23159.65
20194.81 23727.47 23742.29
20696.16 24328.0 24336.82
21204.02 24928.32 24953.54
21718.16 25542.85 25565.08
22240.15 26163.1 26189.08
22768.38 26793.23 26822.45
23304.56 27432.12 27451.49
23847.07 28081.16 28095.91
